Taxon	Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	TAXON_VERSION_KEY	RECOMMENDED_TAXON_VERSION_KEY	NAME_STATUS	MATCHED_ON
Psallus wagneri	12079	Psallus (Hylopsallus) wagneri		Miridae	Hemiptera	1				herbivore		tree-associated	arboreal	canopy, conifer or broadleaved >> broadleaved only			Crataegus, Quercus	Psallus	Hylopsallus	wagneri		NBNSYS0000010150	NHMSYS0020309726	R	Taxon
Psamathocrita argentella	12374	Psamathocrita argentella	Silvery Neb	Gelechiidae	Lepidoptera	8	pRDB 2	[Threat]	[IUCN Threat listing] (1)									Psamathocrita		argentella		NBNSYS0000026256	NHMSYS0000503929	R	Taxon
Psamathocrita osseella	12375	Psamathocrita osseella	Grey Neb	Gelechiidae	Lepidoptera	16	pRDB 1	[Threat]	[IUCN Threat listing] (1)									Psamathocrita		osseella		NHMSYS0021142701	NHMSYS0021142701	R	Taxon
Psammodius asper	9008	Psammodius asper		Aphodiidae	Coleoptera	8	Na; NR; NT	Nationally Rare; NT; [Scarce]	GB Rarity listing (1); IUCN Threat listing (1); [GB Rarity listing] (1)	saprophagous	saprophagous	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> damp, soil type >> sand	F111		Fucaceae	Psammodius		asper		NBNSYS0000011516	NHMSYS0001719705	R	Taxon
Psammoecus bipunctatus	9100	Psammoecus bipunctatus		Silvanidae	Coleoptera	1				saprophagous	saprophagous	wetland	acid & sedge peats	deep litter				Psammoecus		bipunctatus		NBNSYS0000024559	NHMSYS0020153213	R	Taxon
Psammoporus insularis	9081	Psammoporus insularis		Scarabaeidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	saprophagous	saprophagous	wetland	running water	exposed riverine sediments >> riparian sand		ERS (Coleoptera): 2		Psammoporus		insularis		NHMSYS0021422129	NHMSYS0021422129	R	Taxon
Psammotettix albomarginatus	2006	Psammotettix albomarginatus		Cicadellidae	Hemiptera	4	Nb	[Scarce]	[GB Rarity listing] (1)		herbivore	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand		calcareous grassland: Moderate		Psammotettix		albomarginatus		NBNSYS0000010528	NHMSYS0020442454	R	Taxon
Psammotettix cephalotes	2007	Psammotettix cephalotes		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry	F112	calcareous grassland: High	Poaceae	Psammotettix		cephalotes		NBNSYS0000010529	NHMSYS0021126487	R	Taxon
Psammotettix confinis	2008	Psammotettix confinis		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	tall sward & scrub	habitats >> sward/field layer, soil humidity >> dry			Poaceae	Psammotettix		confinis		NHMSYS0020705827	NHMSYS0020705827	R	Taxon
Psammotettix frigidus	2009	Psammotettix frigidus		Cicadellidae	Hemiptera	1	[Na]	[Scarce]	[GB Rarity listing] (1)	herbivore	herbivore	open habitats	tall sward & scrub; upland	habitats >> sward/field layer, soil humidity >> damp	F003, F221		Poaceae	Psammotettix		frigidus		NBNSYS0000010531	NHMSYS0020442455	R	Taxon
Psammotettix maritimus	2010	Psammotettix maritimus		Cicadellidae	Hemiptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111		Ammophila arenaria	Psammotettix		maritimus		NBNSYS0000010532	NHMSYS0020442456	R	Taxon
Psammotettix nodosus	2011	Psammotettix nodosus		Cicadellidae	Hemiptera	1					herbivore	open habitats	short sward & bare ground	habitats >> sward/field layer, soil humidity >> dry				Psammotettix		nodosus		NBNSYS0000010533	NHMSYS0020442457	R	Taxon
Psammotettix putoni	2012	Psammotettix putoni sensu lato		Cicadellidae	Hemiptera	1				herbivore	herbivore	coastal	saltmarsh			Wadensee Saltmarsh fidelity index: hal-1	Poaceae	Psammotettix		putoni		NHMSYS0020924657	NHMSYS0020924657	R	Taxon
Psammotettix sabulicola	2013	Psammotettix sabulicola		Cicadellidae	Hemiptera	1				herbivore	herbivore	open habitats	short sward & bare ground	habitats >> exposed sand, soil humidity >> dry, soil type >> sand	F111		Ammophila arenaria	Psammotettix		sabulicola		NHMSYS0020705830	NHMSYS0020705830	R	Taxon
Psammotettix striatus	2014	Psammotettix striatus sensu lato		Cicadellidae	Hemiptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	herbivore	herbivore	open habitats	short sward & bare ground	habitats >> sward/field layer	F111			Psammotettix		striatus		NHMSYS0020705831	NHMSYS0020924713	R	Taxon
