2026-01-24 22:53:48,667 - INFO - Starting JNCC annotation (v2 - using included_tvk_list)
2026-01-24 22:53:48,667 - INFO - UKSI input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_output.tsv
2026-01-24 22:53:48,667 - INFO - JNCC input file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\20231206_jncc_conservation_designations_taxon_uksi_mapped.tsv
2026-01-24 22:53:48,668 - INFO - Output file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_valid_species_jncc_annotated.tsv
2026-01-24 22:53:48,668 - INFO - Log file: C:\GitHub\mind-the-gap\uksi_processing\jncc_annotation\uksi_jncc_annotation.log
2026-01-24 22:53:48,669 - INFO - Loading JNCC conservation designations...
2026-01-24 22:53:48,770 - INFO - Loaded 15725 unique TVKs from JNCC file (from 14395 rows)
2026-01-24 22:53:48,770 - INFO - Processing UKSI species file...
2026-01-24 22:53:49,303 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021576548: rows ['10284', '10407']
2026-01-24 22:53:49,303 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018294: rows ['10538', '10539']
2026-01-24 22:53:49,303 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018298: rows ['10541', '10542']
2026-01-24 22:53:49,303 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001476797: rows ['10545', '10546']
2026-01-24 22:53:49,344 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000020601: rows ['10782', '10783']
2026-01-24 22:53:49,346 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000020658: rows ['11875', '11876']
2026-01-24 22:53:49,347 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000020692: rows ['12003', '12004']
2026-01-24 22:53:49,347 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000020700: rows ['12010', '12011']
2026-01-24 22:53:49,353 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001472768: rows ['10209', '10213']
2026-01-24 22:53:49,353 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018155: rows ['10217', '10218']
2026-01-24 22:53:49,353 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0021576493: rows ['10222', '11511']
2026-01-24 22:53:49,355 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000019015: rows ['11737', '11738']
2026-01-24 22:53:49,356 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001489444: rows ['11197', '11198']
2026-01-24 22:53:49,356 - DEBUG - Multiple JNCC rows matched for TVK NHMSYS0001489455: rows ['11216', '11217']
2026-01-24 22:53:49,357 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000019037: rows ['4244', '4245']
2026-01-24 22:53:49,357 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018357: rows ['10620', '10621']
2026-01-24 22:53:49,358 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018363: rows ['10627', '10628']
2026-01-24 22:53:49,358 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018374: rows ['10638', '10639']
2026-01-24 22:53:49,358 - DEBUG - Multiple JNCC rows matched for TVK NBNSYS0000018405: rows ['10671', '10672']
