For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act	included_tvk_list
flowering plant	Euphrasia rivularis	Pugsley		NBNSYS0000004161										RedList_ENG_post2001-VU,RedList_GB_post2001-VU				NR-excludes	BAP-2007	England_NERC_S.41		Env (Wales) Act S7							NBNSYS0000004161
flowering plant	Euphrasia rotundifolia	Pugsley		NBNSYS0000004148										RedList_GB_post2001-EN				NR-excludes	BAP-2007		Scottish_Biodiversity_List								NBNSYS0000004148
flowering plant	Euphrasia salisburgensis	Funck		NBNSYS0000014729																			NI_Priority						NBNSYS0000014729
flowering plant	Euphrasia scottica	Wettst.		NBNSYS0000004142										RedList_ENG_post2001-LC,RedList_GB_post2001-NT															NBNSYS0000004142
flowering plant	Euphrasia tetraquetra	(Bréb.) Arrond.		NHMSYS0000458682										RedList_ENG_post2001-NT,RedList_GB_post2001-NT															NHMSYS0000458682
flowering plant	Euphrasia vigursii	Davey		NBNSYS0000004163										RedList_ENG_post2001-EN,RedList_GB_post2001-EN				NR-excludes	BAP-2007	England_NERC_S.41									NBNSYS0000004163
flowering plant	Fagus sylvatica	L.		NBNSYS0000003840										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000003840
flowering plant	Fallopia convolvulus	(L.) Á. Löve		NHMSYS0000458715										RedList_ENG_post2001-LC,RedList_GB_post2001-LC							Scottish_Biodiversity_List								NHMSYS0000458715
flowering plant	Fallopia dumetorum	(L.) Holub		NBNSYS0000003759										RedList_ENG_post2001-VU,RedList_GB_post2001-VU				NS-excludes	BAP-2007	England_NERC_S.41									NBNSYS0000003759
flowering plant	Festuca altissima	All.		NBNSYS0000002511										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NBNSYS0000002511;NHMSYS0100001321
flowering plant	Festuca arenaria	Osbeck		NBNSYS0000002516										RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NS-excludes											NBNSYS0000002516
flowering plant	Festuca arundinacea	Schreb.		NHMSYS0000458758										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458758;NHMSYS0000463273
flowering plant	Festuca filiformis	Pourr.		NHMSYS0000458768										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458768
flowering plant	Festuca gigantea	(L.) Vill.		NHMSYS0000458771										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458771;NHMSYS0000463274
flowering plant	Festuca lemanii	Bastard		NHMSYS0000458777										RedList_ENG_post2001-DD,RedList_GB_post2001-LC															NHMSYS0000458777
flowering plant	Festuca longifolia	Thuill.		NBNSYS0000002525										RedList_ENG_post2001-LC,RedList_GB_post2001-LC				NR-excludes											NBNSYS0000002525
flowering plant	Festuca ovina	L.		NHMSYS0000344612										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000344612
flowering plant	Festuca ovina agg.			NHMSYS0000458783										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458783
flowering plant	Festuca pratensis	Huds.		NHMSYS0000458788										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000458788;NHMSYS0000463276
flowering plant	Festuca rubra agg.	L.		NHMSYS0000523323										RedList_ENG_post2001-LC,RedList_GB_post2001-LC															NHMSYS0000523323
