Row	original_taxon	Vernacular	Family	Order	SQS	Conservation status	Current conservation status	Designation summary	Larval feeding guild	Adult feeding guild	Broad biotope	Habitat	Resources	Specific assemblage type	Habitat score	Associations	Genus	subgenus	species	subspecies	Taxon
112	Melinopterus sphacelatus		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Melinopterus		sphacelatus		Melinopterus sphacelatus
113	Melolontha hippocastani	Northern Cockchafer	Scarabaeidae	Coleoptera	8	NR	LC; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity				Melolontha		hippocastani		Melolontha hippocastani
114	Melolontha melolontha	Common Cockchafer	Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity			Asteraceae	Melolontha		melolontha		Melolontha melolontha
115	Nimbus contaminatus		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Nimbus		contaminatus		Nimbus contaminatus
116	Nimbus obliteratus		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Nimbus		obliteratus		Nimbus obliteratus
117	Onthophagus coenobita		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Onthophagus		coenobita		Onthophagus coenobita
118	Onthophagus fracticornis		Scarabaeidae	Coleoptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Onthophagus		fracticornis		Onthophagus fracticornis
119	Onthophagus joannae		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	short sward & bare ground	dung & carrion >> dung, soil humidity >> dry			Mammalia	Onthophagus		joannae		Onthophagus joannae
120	Onthophagus medius		Scarabaeidae	Coleoptera	4	NS	LC; Nationally Scarce	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Onthophagus		medius		Onthophagus medius
121	Onthophagus nuchicornis		Scarabaeidae	Coleoptera	8	NR; VU	Nationally Rare; VU	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	short sward & bare ground	dung & carrion >> dung, soil humidity >> dry				Onthophagus		nuchicornis		Onthophagus nuchicornis
122	Otophorus haemorrhoidalis		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, habitats, soil humidity >> variable humidity				Otophorus		haemorrhoidalis		Otophorus haemorrhoidalis
123	Phalacronothus quadrimaculatus		Scarabaeidae	Coleoptera	32	CR; NR	CR; Nationally Rare	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity		calcareous grassland: Low		Phalacronothus		quadrimaculatus		Phalacronothus quadrimaculatus
124	Plagiogonus arenarius		Scarabaeidae	Coleoptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity		calcareous grassland: Moderate		Plagiogonus		arenarius		Plagiogonus arenarius
125	Planolinoides borealis		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Planolinoides		borealis		Planolinoides borealis
126	Rhodaphodius foetens		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Rhodaphodius		foetens		Rhodaphodius foetens
127	Serica brunnea	Brown Chafer	Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	herbivore	does not feed	open habitats	tall sward & scrub	base status >> base rich, habitats >> soil & roots, soil humidity >> variable humidity, soil type >> calcareous substrates			Asteraceae	Serica		brunnea		Serica brunnea
128	Sigorus porcus		Scarabaeidae	Coleoptera	8	NR; NT	Nationally Rare; NT	GB Rarity listing (1); IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity		calcareous grassland: Low		Sigorus		porcus		Sigorus porcus
129	Teuchestes fossor		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Teuchestes		fossor		Teuchestes fossor
130	Volinus sticticus		Scarabaeidae	Coleoptera	1		LC	IUCN Threat listing (1)	coprophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung, soil humidity >> variable humidity				Volinus		sticticus		Volinus sticticus
131	Nicrophorus humator	Black Sexton Beetle	Silphidae	Coleoptera	1				necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Nicrophorus		humator		Nicrophorus humator
132	Nicrophorus interruptus		Silphidae	Coleoptera	4	Nb	[Scarce]	[GB Rarity listing] (1)	necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Nicrophorus		interruptus		Nicrophorus interruptus
133	Nicrophorus investigator		Silphidae	Coleoptera	1				necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Nicrophorus		investigator		Nicrophorus investigator
134	Nicrophorus vespillo	Common Burying Beetle	Silphidae	Coleoptera	1				necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Nicrophorus		vespillo		Nicrophorus vespillo
135	Nicrophorus vespilloides		Silphidae	Coleoptera	1				necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Nicrophorus		vespilloides		Nicrophorus vespilloides
136	Nicrophorus vestigator		Silphidae	Coleoptera	4	[Na]	[Scarce]	[GB Rarity listing] (1)	necrophagous	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion, habitats				Nicrophorus		vestigator		Nicrophorus vestigator
137	Aleochara bilineata		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub					Aleochara		bilineata		Aleochara bilineata
138	Aleochara cuniculorum		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> nests				Aleochara		cuniculorum		Aleochara cuniculorum
139	Aleochara curtula		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Aleochara		curtula		Aleochara curtula
140	Aleochara discipennis		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung				Aleochara		discipennis		Aleochara discipennis
141	Aleochara fumata		Staphylinidae	Coleoptera	4	RDB K	[Threat]	[IUCN Threat listing] (1)	parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer				Aleochara		fumata		Aleochara fumata
142	Aleochara funebris		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer				Aleochara		funebris		Aleochara funebris
143	Aleochara intricata		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung				Aleochara		intricata		Aleochara intricata
144	Aleochara lanuginosa		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung				Aleochara		lanuginosa		Aleochara lanuginosa
145	Aleochara lata		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> carrion				Aleochara		lata		Aleochara lata
146	Aleochara moerens		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer				Aleochara		moerens		Aleochara moerens
147	Aleochara ruficornis		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> nests				Aleochara		ruficornis		Aleochara ruficornis
148	Aleochara spadicea		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub					Aleochara		spadicea		Aleochara spadicea
149	Aleochara sparsa		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer				Aleochara		sparsa		Aleochara sparsa
150	Aleochara stichai		Staphylinidae	Coleoptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	parasitoid	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer				Aleochara		stichai		Aleochara stichai
151	Aleochara tristis		Staphylinidae	Coleoptera	1				parasitoid	does not feed	open habitats	tall sward & scrub	dung & carrion >> dung				Aleochara		tristis		Aleochara tristis
152	Trixagus carinifrons		Throscidae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity			Asteraceae	Trixagus		carinifrons		Trixagus carinifrons
153	Trixagus dermestoides		Throscidae	Coleoptera	1				herbivore	does not feed	open habitats	tall sward & scrub	habitats >> soil & roots, soil humidity >> variable humidity			Asteraceae	Trixagus		dermestoides		Trixagus dermestoides
154	Trixagus elateroides		Throscidae	Coleoptera					herbivore	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> damp				Trixagus		elateroides		Trixagus elateroides
155	Trixagus gracilis		Throscidae	Coleoptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	herbivore	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> damp				Trixagus		gracilis		Trixagus gracilis
156	Trixagus obtusus		Throscidae	Coleoptera					herbivore	does not feed	open habitats	tall sward & scrub	habitats >> litter & ground layer, soil humidity >> damp				Trixagus		obtusus		Trixagus obtusus
157	Bolitophila hybrida		Bolitophilidae	Diptera	1				saprophagous	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter			Marchantiophyta, Plantae	Bolitophila		hybrida		Bolitophila hybrida
158	Bolitophila pseudohybrida		Bolitophilidae	Diptera	1				saprophagous	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter			Marchantiophyta, Plantae	Bolitophila		pseudohybrida		Bolitophila pseudohybrida
159	Bolitophila saundersii		Bolitophilidae	Diptera	1				saprophagous	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter			Marchantiophyta, Plantae	Bolitophila		saundersii		Bolitophila saundersii
160	Cylindrotoma distinctissima		Cylindrotomidae	Diptera	1				saprophagous	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter			Asteraceae, Plantae	Cylindrotoma		distinctissima		Cylindrotoma distinctissima
161	Diogma glabrata		Cylindrotomidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	saprophagous	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> woodland litter			Plantae	Diogma		glabrata		Diogma glabrata
162	Phalacrocera replicata		Cylindrotomidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	saprophagous	does not feed	wetland	acid & sedge peats	base status >> acid, sphagnum/moss lawn, wet/damp peat		acid mire: C, grazing marsh - salinity: 0, grazing marsh - status: 3		Phalacrocera		replicata		Phalacrocera replicata
163	Triogma trisulcata		Cylindrotomidae	Diptera	8	RDB 3	[Rare]	[GB Rarity listing] (1)	saprophagous	does not feed	wetland	acid & sedge peats	base status >> acid-neutral, sphagnum/moss lawn, wet/damp peat	W312	seepage (acid-neutral): B		Triogma		trisulcata		Triogma trisulcata
164	Dixa dilatata		Dixidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, shadiness >> heavy shade, woodland stream		ERS (Diptera): 3	Fagales	Dixa		dilatata		Dixa dilatata
165	Dixa maculata		Dixidae	Diptera	4	(LR); NS	Nationally Scarce; [Threat]	GB Rarity listing (1); [IUCN Threat listing] (1)	saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, shadiness >> heavy shade, woodland stream	W114		Fagales	Dixa		maculata		Dixa maculata
166	Dixa nebulosa		Dixidae	Diptera	1				saprophagous	does not feed	wetland	running water	flow >> slow flow		ERS (Diptera): 3		Dixa		nebulosa		Dixa nebulosa
167	Dixa nubilipennis		Dixidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, shadiness >> heavy shade, woodland stream		ERS (Diptera): 3		Dixa		nubilipennis		Dixa nubilipennis
168	Dixa puberula		Dixidae	Diptera	1				saprophagous	does not feed	wetland	running water	flow >> slow flow		ERS (Diptera): 3		Dixa		puberula		Dixa puberula
169	Dixa submaculata		Dixidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, flow >> slow flow, humidity >> wet, shadiness >> heavy shade, woodland stream			Fagales	Dixa		submaculata		Dixa submaculata
170	Macrocera fasciata		Keroplatidae	Diptera					predator	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat >> woodland litter			Arthropoda, Plantae	Macrocera		fasciata		Macrocera fasciata
171	Macrocera phalerata		Keroplatidae	Diptera					predator	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat >> woodland litter			Arthropoda, Plantae	Macrocera		phalerata		Macrocera phalerata
172	Macrocera stigmoides		Keroplatidae	Diptera					predator	does not feed	tree-associated	shaded woodland floor	conifer or broadleaved >> broadleaved only, woodland habitat >> woodland litter			Arthropoda, Plantae	Macrocera		stigmoides		Macrocera stigmoides
173	Achyrolimonia decemmaculata		Limoniidae	Diptera	1				saprophagous	does not feed	tree-associated	decaying wood	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, fungal fruiting bodies	A212	coarse woody debris: c	Fagales	Achyrolimonia		decemmaculata		Achyrolimonia decemmaculata
174	Antocha vitripennis		Limoniidae	Diptera	1				saprophagous	does not feed	wetland	running water	drawdown zone: mud/shallow litter, exposed riverine sediments, flow >> fast flow, seepages >> base rich seepage, seepages >> shaded seepage, seepages >> unshaded seepage		ERS (Diptera): 3		Antocha		vitripennis		Antocha vitripennis
175	Arctoconopa melampodia		Limoniidae	Diptera	8	RDB 2	[Threat]	[IUCN Threat listing] (1)	saprophagous	does not feed	wetland	running water	exposed riverine sediments >> riparian sand, seepages >> soft rock cliff seepage, seepages >> unshaded seepage	W114	seepage (soft rock cliff): C, soft rock cliff: 3		Arctoconopa		melampodia		Arctoconopa melampodia
176	Atypophthalmus inustus		Limoniidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	fungivore	does not feed	tree-associated	decaying wood; shaded woodland floor	conifer or broadleaved >> broadleaved only, fungal fruiting bodies, woodland habitat	A213	coarse woody debris: c	Fagales, Plantae	Atypophthalmus		inustus		Atypophthalmus inustus
177	Austrolimnophila ochracea		Limoniidae	Diptera	1				xylophagous	does not feed	tree-associated	decaying wood; shaded woodland floor	conifer or broadleaved >> broadleaved only, dead trunks & branches >> trunks & branches, humidity >> damp, shadiness >> heavy shade, wood decay in soil, woodland habitat		coarse woody debris: c	Acer, Plantae, Quercus	Austrolimnophila		ochracea		Austrolimnophila ochracea
178	Cheilotrichia cinerascens		Limoniidae	Diptera	1				saprophagous	does not feed	wetland	marshland; running water	drawdown zone: mud/shallow litter				Cheilotrichia		cinerascens		Cheilotrichia cinerascens
179	Cheilotrichia imbuta		Limoniidae	Diptera	4	Notable	[Scarce]	[GB Rarity listing] (1)	saprophagous	does not feed	wetland	running water	drawdown zone: mud/shallow litter, seepages >> shaded seepage, seepages >> unshaded seepage, wetland vegetation				Cheilotrichia		imbuta		Cheilotrichia imbuta
180	Crypteria limnophiloides		Limoniidae	Diptera	1				saprophagous	does not feed	tree-associated; wetland	running water; shaded woodland floor; wet woodland	conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, woodland stream			Fagales	Crypteria		limnophiloides		Crypteria limnophiloides
