organism_key	taxon_version_key	kingdom	phylum_division	class	order	family	genus	taxon_name	taxon_authority	taxon_rank	synonyms	non_native_flag	terrestrial_freshwater_flag	freshwater	marine_flag	freshbase	ukceh_freshwater_list	pantheon_sqs	pantheon_conservation_status	pantheon_current_conservation_status	pantheon_designation_summary	pantheon_larval_feeding_guild	pantheon_adult_feeding_guild	pantheon_broad_biotope	pantheon_habitat	pantheon_resources	pantheon_specific_assemblage_type	pantheon_habitat_score	pantheon_associations	jncc_a: bern convention	jncc_c: birds directive	jncc_c1: convention on migratory species	jncc_c2: ospar	jncc_d: habitats directive	jncc_e: ec cites	jncc_f: global red list status	jncc_fa: red listing based on pre 1994 iucn guidelines	jncc_fb: red listing based on 1994 iucn guidelines	jncc_fc: red listing based on 2001 iucn guidelines	jncc_fd: red data categories  - birds (not based on iucn criteria)	jncc_fe: red data categories - spiders (not based on iucn criteria)	jncc_ga: rare and scarce species	jncc_gb: rare and scarce species (not based on iucn criteria)	jncc_ha: biodiversity action plan uk list of priority species	jncc_hb: biodiversity lists - england	jncc_hc: biodiversity lists - scotland	jncc_hd: biodiversity lists - wales	jncc_he: biodiversity lists - northern ireland	jncc_i: wildlife and countryside act 1981	jncc_j: the wildlife (northern ireland) order 1985	jncc_k: the conservation of habitats and species regulations 2010	jncc_l: the conservation (nature habitats, etc_) regulations (ni) 199	jncc_m: protection of badgers act
NBNORG0000023222	NBNSYS0000033220	Animalia	Arthropoda	Insecta	Diptera	Syrphidae	Sphaerophoria	Sphaerophoria species B	Stubbs, 1991	Species			Y																																								
NBNORG0000039382	NBNSYS0000187214	Animalia	Annelida	Polychaeta	Phyllodocida	Syllidae	Sphaerosyllis	Sphaerosyllis n. sp.		Species					Y																																						
NBNORG0000052073	NHMSYS0000341818	Animalia	Porifera	Demospongiae	Hadromerida	Polymastiidae	Sphaerotylus	Sphaerotylus sp.		Species					Y																																						
NBNORG0000129654	NHMSYS0021237514	Animalia	Arthropoda	Arachnida	Mesostigmata	Spinturnicidae	Spinturnix	Spinturnix sp. A		Species			Y																																								
NBNORG0000032150	NBNSYS0000178135	Animalia	Arthropoda	Insecta	Coleoptera			Springtale		Species			Y																																								
NBNORG0000129639	NHMSYS0021237424	Animalia	Arthropoda	Arachnida	Mesostigmata	Macronyssidae	Steatonyssus	Steatonyssus sp. A		Species			Y																																								
NBNORG0000052228	NHMSYS0000352695	Animalia	Arthropoda	Insecta	Diptera	Chironomidae	Stenochironomus	Stenochironomus Pe2	Langton	Species			Y	Y		Y	Y																																				
NBNORG0000125442	NHMSYS0000364214	Fungi	Ascomycota	Lecanoromycetes	Peltigerales	Lobariaceae	Sticta	Sticta fuliginosa s. str.	(Hoffm.) Ach.	Species			Y																																								
NBNORG0000045826	NBNSYS0200000003	Animalia	Arthropoda	Insecta				Stoneflies and Mayflies		Species			Y																																								
NBNORG0000122608	NHMSYS0021167801	Animalia	Arthropoda	Insecta	Diptera	Stratiomyidae		Stratiomyid Larval Species C		Species			Y																																								
