For further details, refer to the Master List sheet.	Recommended_taxon_name	Recommended_authority	Recommended_qualifier	Recommended_taxon_version	A: Bern Convention	C: Birds Directive	C1: Convention on Migratory Species	C2: OSPAR	D: Habitats Directive	E: EC Cites	F: Global Red list status	Fa: Red Listing based on pre 1994 IUCN guidelines	Fb: Red Listing based on 1994 IUCN guidelines	Fc: Red listing based on 2001 IUCN guidelines	Fd: Red data categories  - birds (not based on IUCN criteria)	Fe: Red data categories - Spiders (not based on IUCN criteria)	Ga: Rare and scarce species	Gb: Rare and scarce species (not based on IUCN criteria)	Ha: Biodiversity Action Plan UK list of priority species	Hb: Biodiversity Lists - England	Hc: Biodiversity Lists - Scotland	Hd: Biodiversity Lists - Wales	He: Biodiversity Lists - Northern Ireland	I: Wildlife and Countryside Act 1981	J: The Wildlife (Northern Ireland) Order 1985	K: The Conservation of Habitats and Species Regulations 2010	L: The Conservation (Nature Habitats, etc_) Regulations (NI) 199	M: Protection of Badgers Act
alga	Xanthidium impar	(J. Jacobsen) Deflandre		NHMSYS0000607533																	Scottish_Biodiversity_List							
alga	Xanthidium robinsonianum	W.Archer		NHMSYS0000607536																	Scottish_Biodiversity_List							
alga	Xanthidium smithii	W.Archer		NHMSYS0000607537																	Scottish_Biodiversity_List							
alga	Xanthidium variabile	(Nordst.) W. et G.S.West		NHMSYS0000607546																	Scottish_Biodiversity_List							
alga	Xiphosiphonia pennata	(C.Agardh) Savoie & G.W.Saunders, 2016		NHMSYS0021185549														Marine-NS										
amphibian	Bufo bufo	(Linnaeus, 1758)		NHMSYS0000080159	Bern-A3						RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.5a				
amphibian	Epidalea calamita	(Laurenti, 1768)		NHMSYS0020194825	Bern-A2				HabDir-A4		RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2		
amphibian	Hyla arborea	(Linnaeus, 1758)		NHMSYS0000080165	Bern-A2																							
amphibian	Ichthyosaura alpestris	(Laurenti, 1768)		NHMSYS0020740241	Bern-A3																							
amphibian	Lissotriton helveticus	(Razoumovsky, 1789)		NHMSYS0020194828	Bern-A3						RedList_Global_post2001-LC													WACA-Sch5_sect9.5a				
amphibian	Lissotriton vulgaris	(Linnaeus, 1758)		NHMSYS0020194827	Bern-A3						RedList_Global_post2001-LC													WACA-Sch5_sect9.5a	W(NI)O-Sch5			
amphibian	Pelophylax esculentus	(Linnaeus, 1758)		NHMSYS0020194861	Bern-A3																							
amphibian	Pelophylax lessonae	(Camerano, 1882)		NHMSYS0020194823	Bern-A3				HabDir-A4		RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41				WACA-Sch5_sect9.4b,WACA-Sch5Sect9.4c		HabReg-Sch2		
amphibian	Pelophylax ridibundus	(Pallas, 1771)		NHMSYS0020194860	Bern-A3																							
amphibian	Rana dalmatina	Fitzinger in Bonaparte, 1839		NHMSYS0000080167							RedList_Global_post2001-LC																	
amphibian	Rana temporaria	Linnaeus, 1758		NBNSYS0000005060	Bern-A3				HabDir-A5		RedList_Global_post2001-LC													WACA-Sch5_sect9.5a				
amphibian	Triturus cristatus	(Laurenti, 1768)		NHMSYS0000080156	Bern-A2				HabDir-A2*,HabDir-A4		RedList_Global_post2001-LC								BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7		WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c		HabReg-Sch2		
annelid	Alkmaria romijni	Horst, 1919		NBNSYS0000188454														Marine-NS				Env (Wales) Act S7		WACA-Sch5_sect9.4.a				
annelid	Armandia cirrhosa	Filippi, 1861		NBNSYS0000022327														Marine-NR	BAP-2007	England_NERC_S.41				WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
annelid	Baldia johnstoni	Garwood & Bamber, 1988		NBNSYS0000174083														Marine-NS										
annelid	Hirudo medicinalis	Linnaeus, 1758		NBNSYS0000022372	Bern-A3				HabDir-A5	ECCITES-B	RedList_Global_post94-NT										Scottish_Biodiversity_List			WACA-Sch5_sect9.1(kill/injuring),WACA-Sch5_sect9.1(taking),WACA-Sch5_sect9.2,WACA-Sch5_sect9.4.a,WACA-Sch5_sect9.4b,WACA-Sch5_sect9.5a,WACA-Sch5Sect9.4c				
annelid	Ophelia bicornis	Savigny in Lamarck, 1818		NHMSYS0021049390														Marine-NR										
annelid	Placobdella costata	(F. Müller, 1846)		NHMSYS0000068876								RedList_GB_Pre94-Insu																
annelid	Sternaspis scutata	Ranzani, 1817		NHMSYS0021048704														Marine-NR										
bird	Acanthis cabaret	(Müller, PLS, 1776)		NHMSYS0021004312										Bird_RedList_GB_post2001-LC_Breeding					BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority					
bird	Acanthis flammea	(Linnaeus, 1758)		NHMSYS0021004317	Bern-A2									Bird_RedList_GB_post2001-CR_Breeding,Bird_RedList_GB_post2001-VU_NonBreeding	Bird-Red													
bird	Acanthis hornemanni	(Holböll, 1843)		NHMSYS0021004332	Bern-A2																							
bird	Accipiter gentilis	(Linnaeus, 1758)		NHMSYS0000530119			CMS_A2			ECCITES-A				Bird_RedList_GB_post2001-NT_Breeding									NI_Priority	WACA-Sch1_part1	W(NI)O-Sch1_part1			
bird	Accipiter nisus	(Linnaeus, 1758)		NHMSYS0000530120			CMS_A2			ECCITES-A				Bird_RedList_GB_post2001-NT_Breeding	Bird-Amber										W(NI)O-Sch1_part1			
bird	Acrocephalus melanopogon	(Temminck, 1823)		NHMSYS0000530126		BirdsDir-A1																						
bird	Acrocephalus paludicola	(Vieillot, 1817)		NHMSYS0000530127		BirdsDir-A1	CMS_A1,CMS_A2												BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
bird	Acrocephalus palustris	(Bechstein, 1798)		NHMSYS0000530128										Bird_RedList_GB_post2001-CR_Breeding	Bird-Red				BAP-2007	England_NERC_S.41				WACA-Sch1_part1				
bird	Acrocephalus schoenobaenus	(Linnaeus, 1758)		NHMSYS0000530129										Bird_RedList_GB_post2001-LC_Breeding	Bird-Amber													
bird	Acrocephalus scirpaceus	(Hermann, 1804)		NHMSYS0000530130										Bird_RedList_GB_post2001-LC_Breeding							Scottish_Biodiversity_List				W(NI)O-Sch1_part1			
bird	Actitis hypoleucos	(Linnaeus, 1758)		NHMSYS0021053542			CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-VU_Breeding	Bird-Amber													
bird	Actitis macularius	(Linnaeus, 1766)		NHMSYS0021053543			CMS_A2																					
bird	Aegithalos caudatus	(Linnaeus, 1758)		NHMSYS0000530133										Bird_RedList_GB_post2001-LC_Breeding														
bird	Aegithalos caudatus rosaceus	Mathews, 1938		NHMSYS0020302922										Bird_RedList_GB_post2001-LC_Breeding														
bird	Aegolius funereus	(Linnaeus, 1758)		NHMSYS0000530135	Bern-A2	BirdsDir-A1				ECCITES-A																		
bird	Aix galericulata	(Linnaeus, 1758)		NHMSYS0000530137			CMS_A2																					
bird	Alauda arvensis	Linnaeus, 1758		NHMSYS0000530139		BirdsDir-A2.2								Bird_RedList_GB_post2001-LC_Breeding,Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Red					England_NERC_S.41	Scottish_Biodiversity_List		NI_Priority					
bird	Alauda arvensis arvensis	Linnaeus, 1758		NHMSYS0020302924										Bird_RedList_GB_post2001-VU_Breeding					BAP-2007			Env (Wales) Act S7						
bird	Alauda leucoptera	Pallas, 1811		NHMSYS0021275206	Bern-A2																							
bird	Alaudala rufescens	(Vieillot, 1819)		NHMSYS0021275201	Bern-A2																							
bird	Alca torda	Linnaeus, 1758		NBNSYS0000000040			CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_Breeding	Bird-Amber													
bird	Alca torda islandica	Brehm, CL, 1831		NHMSYS0020302925										Bird_RedList_GB_post2001-LC_Breeding														
bird	Alcedo atthis	(Linnaeus, 1758)		NHMSYS0000530141	Bern-A2	BirdsDir-A1								Bird_RedList_GB_post2001-LC_Breeding							Scottish_Biodiversity_List			WACA-Sch1_part1	W(NI)O-Sch1_part1			
bird	Alectoris rufa	(Linnaeus, 1758)		NHMSYS0000530143		BirdsDir-A2.1																						
bird	Alle alle	(Linnaeus, 1758)		NBNSYS0000000377			CMS_AEWA-A2							Bird_RedList_GB_post2001-DD_NonBreeding														
bird	Anas acuta	Linnaeus, 1758		NBNSYS0000000189		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2			ECCITES-C				Bird_RedList_GB_post2001-CR_Breeding,Bird_RedList_GB_post2001-EN_NonBreeding	Bird-Amber								NI_Priority	WACA-Sch1_part2	W(NI)O-Sch1_part2			
bird	Anas crecca	Linnaeus, 1758		NBNSYS0000000131		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2			ECCITES-C				Bird_RedList_GB_post2001-LC_Breeding,Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Amber													
bird	Anas platyrhynchos	Linnaeus, 1758		NBNSYS0000000007		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_Breeding,Bird_RedList_GB_post2001-NT_NonBreeding	Bird-Amber													
bird	Anas rubripes	Brewster, 1902		NBNSYS0000000266			CMS_A2																					
bird	Anser albifrons	(Scopoli, 1769)		NHMSYS0000530149		BirdsDir-A2.2	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-CR_NonBreeding	Bird-Red						Scottish_Biodiversity_List							
bird	Anser albifrons albifrons	(Scopoli, 1769)		NHMSYS0000532791															BAP-2007	England_NERC_S.41								
bird	Anser albifrons flavirostris	Dalgety & Scott, P, 1948		NHMSYS0000532795		BirdsDir-A1								Bird_RedList_GB_post2001-CR_NonBreeding					BAP-2007			Env (Wales) Act S7	NI_Priority					
bird	Anser anser	(Linnaeus, 1758)		NBNSYS0000000201		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_Breeding,Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Amber									WACA-Sch1_part2				
bird	Anser anser anser	(Linnaeus, 1758)		NHMSYS0020302935										Bird_RedList_GB_post2001-LC_NonBreeding														
bird	Anser brachyrhynchus	Baillon, 1834		NHMSYS0000530150		BirdsDir-A2.2	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Amber													
bird	Anser caerulescens	(Linnaeus, 1758)		NBNSYS0000000259			CMS_A2																					
bird	Anser erythropus	(Linnaeus, 1758)		NBNSYS0000000258	Bern-A2	BirdsDir-A1	CMS_A1,CMS_A2,CMS_AEWA-A2																					
bird	Anser fabalis fabalis	(Latham, 1787)		NHMSYS0020302938										Bird_RedList_GB_post2001-CR_NonBreeding														
bird	Anser fabialis/serrirostris			NHMSYS0021621879		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-CR_NonBreeding	Bird-Amber						Scottish_Biodiversity_List							
bird	Anser serrirostris	Gould, 1852		NHMSYS0021276136										Bird_RedList_GB_post2001-VU_NonBreeding														
bird	Anthus campestris	(Linnaeus, 1758)		NHMSYS0000530152	Bern-A2	BirdsDir-A1																						
bird	Anthus cervinus	(Pallas, 1811)		NHMSYS0000530153	Bern-A2																							
bird	Anthus godlewskii	(Taczanowski, 1876)		NHMSYS0000530154	Bern-A2																							
bird	Anthus gustavi	Swinhoe, 1863		NHMSYS0000530155	Bern-A2																							
bird	Anthus hodgsoni	Richmond, 1907		NHMSYS0000530156	Bern-A2																							
bird	Anthus petrosus	(Montagu, 1798)		NHMSYS0000530158	Bern-A2									Bird_RedList_GB_post2001-LC_Breeding														
bird	Anthus petrosus petrosus	(Montagu, 1798)		NHMSYS0000532831										Bird_RedList_GB_post2001-LC_Breeding														
bird	Anthus pratensis	(Linnaeus, 1758)		NHMSYS0000530159	Bern-A2									Bird_RedList_GB_post2001-LC_Breeding	Bird-Amber													
bird	Anthus richardi	Vieillot, 1818		NHMSYS0000533927	Bern-A2																							
bird	Anthus rubescens	(Tunstall, 1771)		NHMSYS0000530160	Bern-A2																							
bird	Anthus spinoletta	(Linnaeus, 1758)		NHMSYS0000530161	Bern-A2									Bird_RedList_GB_post2001-VU_NonBreeding	Bird-Amber													
bird	Anthus trivialis	(Linnaeus, 1758)		NHMSYS0000530162	Bern-A2									Bird_RedList_GB_post2001-LC_Breeding	Bird-Red				BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority		W(NI)O-Sch1_part1			
bird	Antigone canadensis	(Linnaeus, 1758)		NHMSYS0021270746	Bern-A2		CMS_A2			ECCITES-A																		
bird	Apus apus	(Linnaeus, 1758)		NHMSYS0000530165										Bird_RedList_GB_post2001-EN_Breeding	Bird-Red						Scottish_Biodiversity_List		NI_Priority					
bird	Apus pallidus	(Shelley, 1870)		NHMSYS0000530168	Bern-A2																							
bird	Aquila chrysaetos	(Linnaeus, 1758)		NHMSYS0000530170		BirdsDir-A1	CMS_A2			ECCITES-A				Bird_RedList_GB_post2001-NT_Breeding							Scottish_Biodiversity_List		NI_Priority	WACA-Sch1_part1	W(NI)O-Sch1_part1			
bird	Ardea alba	Linnaeus, 1758		NHMSYS0000530172	Bern-A2		CMS_AEWA-A2			ECCITES-A					Bird-Amber													
bird	Ardea cinerea	Linnaeus, 1758		NBNSYS0000000006			CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_NonBreeding,Bird_RedList_GB_post2001-NT_Breeding											W(NI)O-Sch1_part1			
bird	Ardea purpurea	Linnaeus, 1766		NHMSYS0000530173	Bern-A2	BirdsDir-A1	CMS_AEWA-A2																	WACA-Sch1_part1				
bird	Ardenna grisea	(Gmelin, JF, 1789)		NHMSYS0021273556																			NI_Priority					
bird	Ardeola ralloides	(Scopoli, 1769)		NHMSYS0000530175	Bern-A2	BirdsDir-A1	CMS_AEWA-A2																					
bird	Arenaria interpres	(Linnaeus, 1758)		NBNSYS0000000142	Bern-A2		CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-VU_NonBreeding	Bird-Amber													
bird	Arenaria interpres interpres	(Linnaeus, 1758)		NHMSYS0020302955										Bird_RedList_GB_post2001-VU_NonBreeding														
bird	Asio flammeus	(Pontoppidan, 1763)		NHMSYS0000530180	Bern-A2	BirdsDir-A1				ECCITES-A				Bird_RedList_GB_post2001-EN_Breeding	Bird-Amber						Scottish_Biodiversity_List		NI_Priority		W(NI)O-Sch1_part1			
bird	Asio otus	(Linnaeus, 1758)		NHMSYS0000530181	Bern-A2					ECCITES-A				Bird_RedList_GB_post2001-LC_Breeding											W(NI)O-Sch1_part1			
bird	Athene noctua	(Scopoli, 1769)		NHMSYS0000530183	Bern-A2					ECCITES-A																		
bird	Aythya collaris	(Donovan, 1809)		NHMSYS0000530186			CMS_A2																					
bird	Aythya ferina	(Linnaeus, 1758)		NBNSYS0000000137		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-EN_Breeding,Bird_RedList_GB_post2001-EN_NonBreeding	Bird-Red						Scottish_Biodiversity_List		NI_Priority		W(NI)O-Sch1_part2			
bird	Aythya fuligula	(Linnaeus, 1758)		NBNSYS0000000139		BirdsDir-A2.1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_Breeding,Bird_RedList_GB_post2001-LC_NonBreeding									NI_Priority					
bird	Aythya marila	(Linnaeus, 1761)		NBNSYS0000000193		BirdsDir-A2.2	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-EN_NonBreeding	Bird-Red				BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List		NI_Priority	WACA-Sch1_part1	W(NI)O-Sch1_part2			
bird	Aythya nyroca	(Güldenstädt, 1770)		NBNSYS0000000270		BirdsDir-A1	CMS_A1,CMS_A2,CMS_AEWA-A2			ECCITES-A																		
bird	Bartramia longicauda	(Bechstein, 1812)		NBNSYS0000000339			CMS_A2																					
bird	Bombycilla garrulus	(Linnaeus, 1758)		NHMSYS0000530207	Bern-A2									Bird_RedList_GB_post2001-LC_NonBreeding														
bird	Botaurus stellaris	(Linnaeus, 1758)		NHMSYS0000530210	Bern-A2	BirdsDir-A1	CMS_AEWA-A2							Bird_RedList_GB_post2001-NT_Breeding,Bird_RedList_GB_post2001-VU_NonBreeding	Bird-Amber				BAP-2007	England_NERC_S.41	Scottish_Biodiversity_List	Env (Wales) Act S7	NI_Priority	WACA-Sch1_part1	W(NI)O-Sch1_part1			
bird	Branta bernicla	(Linnaeus, 1758)		NBNSYS0000000260		BirdsDir-A2.2	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Amber													
bird	Branta bernicla bernicla	(Linnaeus, 1758)		NHMSYS0000534055										Bird_RedList_GB_post2001-LC_NonBreeding					BAP-2007	England_NERC_S.41		Env (Wales) Act S7						
bird	Branta bernicla hrota	(Müller, OF, 1776)		NHMSYS0020302961										Bird_RedList_GB_post2001-LC_NonBreeding									NI_Priority					
bird	Branta canadensis	(Linnaeus, 1758)		NBNSYS0000000009		BirdsDir-A2.1	CMS_A2																					
bird	Branta leucopsis	(Bechstein, 1803)		NBNSYS0000000214	Bern-A2	BirdsDir-A1	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-LC_NonBreeding	Bird-Amber						Scottish_Biodiversity_List							
bird	Branta ruficollis	(Pallas, 1769)		NBNSYS0000000261	Bern-A2	BirdsDir-A1	CMS_A1,CMS_A2,CMS_AEWA-A2			ECCITES-A																		
bird	Bubo bubo	(Linnaeus, 1758)		NHMSYS0000532935		BirdsDir-A1				ECCITES-A																		
bird	Bubo scandiacus	(Linnaeus, 1758)		NHMSYS0021003743	Bern-A2	BirdsDir-A1				ECCITES-A														WACA-Sch1_part1				
bird	Bubulcus ibis	(Linnaeus, 1758)		NHMSYS0000530216			CMS_AEWA-A2			ECCITES-A					Bird-Amber													
bird	Bucephala albeola	(Linnaeus, 1758)		NBNSYS0000000275			CMS_A2																					
bird	Bucephala clangula	(Linnaeus, 1758)		NBNSYS0000000191		BirdsDir-A2.2	CMS_A2,CMS_AEWA-A2							Bird_RedList_GB_post2001-VU_Breeding,Bird_RedList_GB_post2001-VU_NonBreeding	Bird-Red								NI_Priority	WACA-Sch1_part2	W(NI)O-Sch1_part2			
